"rank","team_id","team_name"
1,518,"Ohio St."
2,334,"Kentucky"
3,416,"Michigan St."
4,782,"Wichita St."
5,14927,"Belmont"
6,434,"Missouri"
7,457,"North Carolina"
8,328,"Kansas"
9,275,"Harvard"
10,796,"Wisconsin"
11,688,"Syracuse"
12,306,"Indiana"
13,404,"Memphis"
14,609,"Saint Louis"
15,454,"Murray St."
16,690,"Temple"
17,251,"Georgetown"
18,473,"New Mexico"
19,465,"UNLV"
20,310,"Iona"
21,51,"Baylor"
22,327,"Kansas St."
23,352,"Lehigh"
24,193,"Duke"
25,99,"Long Beach St."
26,169,"Creighton"
27,554,"Princeton"
28,387,"Marquette"
29,235,"Florida"
30,703,"Texas"
31,419,"Middle Tenn."
32,748,"Wagner"
33,173,"Davidson"
34,234,"Florida St."
35,260,"Gonzaga"
36,148,"Cleveland St."
37,596,"St. Bonaventure"
38,86,"Buffalo"
39,746,"Virginia"
40,702,"Texas-Arlington"
41,77,"BYU"
42,191,"Drexel"
43,5,"Akron"
44,736,"Vanderbilt"
45,418,"Michigan"
46,740,"VCU"
47,340,"La Salle"
48,610,"St. Mary's (CA)"
49,559,"Purdue"
50,367,"Louisville"
51,8,"Alabama"
52,406,"Mercer"
53,649,"South Dakota St."
54,311,"Iowa St."
55,813,"Yale"
56,254,"Georgia St."
57,107,"California"
58,83,"Bucknell"
59,415,"Miami (FL)"
60,811,"Wyoming"
61,381,"Manhattan"
62,104,"UC Santa Barbara"
63,346,"Lamar"
64,768,"West Virginia"
65,519,"Ohio"
66,635,"Seton Hall"
67,606,"Saint Joseph's"
68,183,"Denver"
69,441,"Montana"
70,562,"Quinnipiac"
71,175,"Dayton"
72,669,"Missouri St."
73,140,"Cincinnati"
74,579,"Robert Morris"
75,719,"Tulsa"
76,400,"Massachusetts"
77,198,"East Tenn. St."
78,164,"Connecticut"
79,472,"New Mexico St."
80,513,"Notre Dame"
81,504,"UNI"
82,331,"Kent St."
83,493,"North Dakota St."
84,388,"Marshall"
85,10411,"USC Upstate"
86,575,"Richmond"
87,156,"Colorado St."
88,301,"Illinois"
89,527,"Oral Roberts"
90,674,"Stanford"
91,812,"Xavier"
92,428,"Minnesota"
93,739,"Villanova"
94,664,"Southern Miss."
95,651,"South Fla."
96,369,"Loyola Maryland"
97,817,"Youngstown St."
98,756,"Washington"
99,523,"Old Dominion"
100,196,"East Carolina"
101,490,"North Carolina St."
102,509,"Northwestern"
103,738,"Vermont"
104,758,"Weber St."
105,742,"Virginia Tech"
106,28755,"FGCU"
107,71,"Bowling Green"
108,456,"UNC Asheville"
109,529,"Oregon"
110,545,"Pittsburgh"
111,458,"Charlotte"
112,299,"Illinois St."
113,147,"Clemson"
114,248,"George Mason"
115,220,"Fairfield"
116,706,"UTSA"
117,540,"Penn"
118,694,"Tennessee"
119,797,"Milwaukee"
120,683,"Stony Brook"
121,23,"American"
122,87,"Butler"
123,194,"Duquesne"
124,365,"LSU"
125,48,"Charleston So."
126,110,"UCLA"
127,528,"Oregon St."
128,361,"LIU Brooklyn"
129,626,"San Diego St."
130,735,"Valparaiso"
131,167,"Cornell"
132,219,"Evansville"
133,521,"Oklahoma St."
134,794,"Green Bay"
135,489,"N.C. Central"
136,158,"Columbia"
137,128,"UCF"
138,9,"UAB"
139,731,"Utah St."
140,295,"Idaho"
141,180,"Delaware"
142,599,"St. Francis Brooklyn"
143,1014,"Col. of Charleston"
144,184,"Detroit"
145,127,"Central Conn. St."
146,676,"Stephen F. Austin"
147,68,"Boston U."
148,97,"Cal St. Fullerton"
149,66,"Boise St."
150,771,"Western Ill."
151,718,"Tulane"
152,90,"Cal Poly"
153,29,"Arizona"
154,2915,"Wofford"
155,189,"Drake"
156,2711,"North Florida"
157,430,"Mississippi St."
158,47,"Ball St."
159,704,"UTEP"
160,433,"Ole Miss"
161,646,"South Ala."
162,522,"Oklahoma"
163,28600,"Lipscomb"
164,691,"Tennessee St."
165,497,"North Texas"
