Rank,Team,W-L,SOS,Seed,,,,
*,KANSAS,32-2,20.3,1,,,,
*,DUKE,29-5,19.5,1,,,,
*,KENTUCKY,32-2,23,1,,,,
*,WEST VIRGINIA,27-6,18.5,2,,,,
1,SYRACUSE,27-4,19.1,1,,,,
2,PURDUE,26-5,18.9,4,,,,
3,KANSAS STATE,25-7,18.2,2,,,,
4,BAYLOR,24-7,18.2,3,,,,
5,VILLANOVA,24-7,18.2,2,,,,
*,OHIO STATE,27-7,20.8,2,,,,
6,TEXAS A&M,22-9,17.3,5,,,,
*,TEMPLE,29-5,23.9,5,,,,
7,WISCONSIN,23-8,18.7,4,,,,
8,MARYLAND,22-8,17.9,4,,,,
9,NEW MEXICO,29-4,24.5,3,,,,
10,GEORGETOWN,23-10,18.5,3,,,,
11,MICHIGAN STATE,24-8,19.9,5,,,,
*,BUTLER,28-4,24,5,,,,
12,TENNESSEE,25-8,21,6,,,,
13,PITTSBURGH,24-8,20.2,3,,,,
14,TEXAS,24-9,20.2,8,,,,
15,FLORIDA STATE,22-9,18.5,9,,,,
16,BRIGHAM YOUNG,28-5,24.3,7,,,,
17,VANDERBILT,23-8,19.6,4,,,,
18,Virginia Tech,23-8,19.9,,,,,
*,NORTHERN IOWA,28-4,25.2,9,,,,
19,GONZAGA,25-6,22.5,8,,,,
20,MARQUETTE,22-11,19.7,6,,,,
21,XAVIER,24-8,21.8,6,,,,
22,UTEP,26-6,23.8,12,,,,
23,RICHMOND,26-8,23.8,7,,,,
24,CLEMSON,21-10,19,7,,,,
25,GEORGIA TECH,21-12,19,10,,,,
26,WAKE FOREST,19-10,17.2,9,,,,
27,OKLAHOMA STATE,22-10,20,7,,,,
28,MISSOURI,22-10,20.3,10,,,,
*,SAINT MARY'S,25-5,23.5,10,,,,
*,CORNELL,25-4,23.6,12,,,,
29,CALIFORNIA,23-10,21.5,8,,,,
*,SAN DIEGO STATE,23-8,21.9,11,,,,
30,UNLV,24-8,22.9,8,,,,
*,WASHINGTON,24-9,23,11,,,,
31,NOTRE DAME,23-11,22.2,6,,,,
32,Mississippi,21-10,20.6,,,,,
33,FLORIDA,21-12,20.8,10,,,,
*,OLD DOMINION,26-8,25.9,11,,,,
34,LOUISVILLE,20-12,19.9,9,,,,
35,MINNESOTA,21-13,21,11,,,,
36,Mississippi Stat,23-11,23,,,,,
*,SIENA,27-6,27,13,,,,
37,Arizona State,22-10,22.2,,,,,
38,UAB,23-8,23.2,,,,,
39,Illinois,18-14,18.3,,,,,
40,Seton Hall,19-12,19.5,,,,,
41,UTAH STATE,26-7,26.5,12,,,,
*,MURRAY STATE,28-4,28.5,13,,,,
42,Rhode Island,23-9,23.6,,,,,
43,South Florida,20-12,20.7,,,,,
44,Memphis,23-9,24,,,,,
45,Miami (FL),19-13,20.1,,,,,
46,Cincinnati,18-15,19.2,,,,,
47,Northwestern,20-13,21.5,,,,,
48,North Carolina S,19-15,20.6,,,,,
49,Wichita State,24-9,25.7,,,,,
*,OAKLAND,24-8,25.7,14,,,,
50,North Carolina,16-16,17.8,,,,,
51,Tulsa,22-11,23.9,,,,,
52,Texas Tech,17-15,18.9,,,,,
53,Connecticut,17-15,19,,,,,
54,St. John's,17-15,19,,,,,
55,William & Mary,21-10,23,,,,,
56,Marshall,20-9,22,,,,,
57,Dayton,20-12,22.5,,,,,
*,NEW MEXICO STATE,21-11,23.6,12,,,,
*,WOFFORD,25-8,27.8,13,,,,
58,Louisiana Tech,23-10,25.9,,,,,
59,Charlotte,19-12,21.8,,,,,
60,Kent State,22-9,25,,,,,
61,Harvard,20-7,22.7,,,,,
62,Portland,19-10,21.9,,,,,
63,Virginia Commonw,22-9,25.1,,,,,
*,SAM HOUSTON STAT,21-7,24.2,14,,,,
64,Arizona,16-15,19.6,,,,,
65,Alabama,17-15,20.8,,,,,
66,Virginia,15-16,18.7,,,,,
67,Saint Louis,19-11,22.6,,,,,
68,Iowa State,15-17,18.9,,,,,
69,Boston College,15-16,18.7,,,,,
70,USC,16-14,19.6,,,,,
*,MORGAN STATE,27-9,31.4,15,,,,
71,Illinois State,22-10,25.9,,,,,
72,Northern Colorad,23-7,26.8,,,,,
73,South Carolina,15-16,19,,,,,
74,Michigan,14-17,18.1,,,,,
75,Nevada,19-12,23.2,,,,,
76,Iona,21-10,25.2,,,,,
77,Akron,23-10,27.6,,,,,
78,Coastal Carolina,24-6,28.2,,,,,
79,Fairfield,22-10,26.5,,,,,
80,Nebraska,15-18,19.8,,,,,
81,Colorado,13-16,17.2,,,,,
82,Northeastern,20-12,24.8,,,,,
*,NORTH TEXAS,22-8,26.5,15,,,,
83,Georgia,14-17,18.8,,,,,
84,Wright State,20-12,25.1,,,,,
85,IUPUI,22-10,27.2,,,,,
*,UC SANTA BARBARA,19-9,23.6,15,,,,
*,MONTANA,20-9,24.8,14,,,,
86,Princeton,19-8,23.5,,,,,
87,Weber State,18-10,22.7,,,,,
*,VERMONT,25-9,30.7,16,,,,
88,Morehead State,21-10,26.3,,,,,
89,Oklahoma,13-18,18.3,,,,,
90,Missouri State,20-12,25.5,,,,,
91,Southern Miss,16-13,21.3,,,,,
92,Oregon,16-16,22,,,,,
93,Rutgers,14-17,19.8,,,,,
94,Charleston,21-11,27.1,,,,,
95,Washington State,15-15,20.9,,,,,
*,HOUSTON,18-15,24.6,13,,,,
96,Pacific,20-11,26.2,,,,,
97,Western Carolina,19-11,25.1,,,,,
98,Green Bay,19-12,25.3,,,,,
*,ROBERT MORRIS,23-11,30,15,,,,
99,Stony Brook,21-9,27.2,,,,,
100,UCLA,14-18,20.7,,,,,
101,Appalachian Stat,20-11,26.6,,,,,
102,Providence,12-19,18.6,,,,,
103,South Dakota,18-9,23.8,,,,,
104,Stephen F. Austi,19-9,25,,,,,
105,Bradley,16-15,22.8,,,,,
106,Quinnipiac,23-9,30,,,,,
107,Stanford,14-18,21,,,,,
108,Duquesne,15-15,21.8,,,,,
109,Auburn,14-17,21,,,,,
110,Oral Roberts,19-13,26.3,,,,,
111,Colorado State,15-15,21.9,,,,,
112,Western Kentucky,21-13,28.8,,,,,
113,George Washingto,16-14,23.1,,,,,
114,Jacksonville,19-12,26.3,,,,,
*,LEHIGH,22-10,29.6,16,,,,
115,Creighton,16-15,23.3,,,,,
116,Milwaukee,17-14,24.4,,,,,
117,Oregon State,14-17,21.4,,,,,
118,Hofstra,18-14,25.7,,,,,
119,Belmont,19-12,26.5,,,,,
120,Detroit,19-14,27,,,,,
