Rank,Team,Rating,High,Low,Last
1,Duke (30-6),0.676,1,32,1
2,Louisville (35-5),0.675,2,172,2
3,New Mexico (29-6),0.657,2,188,3
4,Miami (FL) (29-7),0.65,2,176,4
5,Kansas (31-6),0.644,2,239,5
6,Michigan St (26-9),0.642,4,232,6
7,Gonzaga (31-3),0.641,5,336,8
8,Ohio State (29-8),0.639,5,167,9
9,Michigan (30-8),0.638,2,37,7
10,Syracuse (30-10),0.638,3,263,10
11,Florida (29-8),0.637,3,71,11
12,Indiana (29-7),0.637,4,269,12
13,Marquette (26-9),0.636,9,188,13
14,Memphis (31-5),0.63,11,280,14
15,Georgetown (25-7),0.626,7,169,15
16,Arizona (27-8),0.625,2,275,16
17,Saint Louis (28-7),0.617,16,296,17
18,Wichita St (30-9),0.617,8,86,18
19,N Carolina (24-11),0.616,7,134,19
20,Butler (26-9),0.613,2,269,20
21,Colorado St (24-9),0.612,8,303,21
22,Kansas St (26-8),0.611,16,182,22
23,Creighton (28-8),0.611,7,233,23
24,Belmont (24-7),0.61,1,264,24
25,St Marys (27-7),0.608,24,243,26
26,VCU (27-9),0.608,16,127,25
27,UNLV (24-10),0.604,6,191,27
28,Oklahoma St (24-9),0.602,2,251,28
29,Minnesota (21-13),0.601,3,185,29
30,La Salle (24-10),0.6,24,250,30
31,S Mississippi (25-10),0.6,6,147,32
32,Wisconsin (23-12),0.599,13,163,31
33,Middle Tenn (28-6),0.599,19,88,33
34,UCLA (25-10),0.599,23,278,34
35,San Diego St (21-11),0.597,23,274,35
36,Oregon (28-9),0.596,16,301,37
37,NC State (24-11),0.596,2,107,38
38,Illinois (22-13),0.595,3,86,36
39,Temple (24-10),0.591,25,329,39
40,Iowa State (23-12),0.59,26,293,40
41,Missouri (23-11),0.59,6,152,41
42,Notre Dame (25-10),0.59,30,98,42
43,Colorado (21-12),0.588,1,298,43
44,Pittsburgh (24-9),0.587,27,190,44
45,Oklahoma (20-12),0.586,13,337,45
46,Mississippi (27-9),0.586,31,199,46
47,Akron (25-7),0.584,34,285,47
48,Connecticut (20-10),0.582,1,50,48
49,Cincinnati (22-12),0.581,16,205,49
50,Boise State (19-11),0.58,22,205,50
51,California (21-12),0.577,14,177,51
52,Bucknell (27-6),0.577,2,181,52
53,LA Tech (26-7),0.577,12,225,53
54,Villanova (19-14),0.575,11,173,54
55,Baylor (22-14),0.571,8,299,55
56,N Mex State (23-11),0.57,55,319,56
57,Kentucky (21-12),0.57,2,102,57
58,Valparaiso (25-8),0.567,53,184,59
59,Iowa (25-13),0.567,51,304,58
60,BYU (23-12),0.566,30,292,60
61,U Mass (21-12),0.566,23,256,61
62,Maryland (25-13),0.564,28,203,62
63,Denver (22-10),0.561,57,274,63
64,Alabama (22-13),0.56,2,106,64
65,Davidson (25-8),0.56,60,273,65
66,Tennessee (20-13),0.558,41,278,66
67,E Carolina (19-12),0.557,67,321,67
68,Montana (23-7),0.557,24,309,68
